# Frequenz [Hz]	Amplitude
73600000	2.50680402181283E-6
73700000	8.95594718486616E-6
73800000	1.5896401752511E-5
73900000	1.56355380149115E-5
74000000	6.4767488750304E-6
74100000	6.28605056057294E-6
74200000	9.49511363736049E-6
74300000	6.6341855074217E-6
74400000	5.52074768479934E-6
74500000	2.52841739709061E-6
74600000	4.3844299834093E-6
74700000	1.13305559470764E-5
74800000	1.15735416814162E-5
74900000	1.34894262656593E-5
75000000	2.86510496403356E-5
75100000	4.0625213387582E-6
75200000	5.7806568060838E-6
75300000	1.34588980821233E-5
75400000	1.18531596717473E-5
75500000	1.01337673240762E-5
75600000	1.20466311900455E-5
75700000	7.88914384681789E-6
75800000	3.51935764802643E-6
75900000	1.01255277226438E-5
76000000	6.10899605750475E-6
76100000	6.3254251334945E-6
76200000	1.05288156077677E-5
76300000	3.64353123289898E-6
76400000	6.4335076973215E-6
76500000	5.36564224335812E-6
76600000	1.12134184501169E-5
76700000	8.04525641283758E-6
76800000	1.72044081979321E-5
76900000	6.24567168162397E-6
77000000	1.72686481304349E-5
77100000	9.90008556870775E-6
77200000	7.6853743732614E-6
77300000	1.72261258836706E-5
77400000	9.47797804303093E-6
77500000	6.05010161572155E-6
77600000	7.58458753243654E-6
77700000	6.6365820267411E-6
77800000	3.88071985600286E-6
77900000	6.0179757274526E-6
78000000	1.71975373951544E-5
78100000	2.12600317154117E-5
78200000	8.88419964454538E-6
78300000	1.16705268873885E-5
78400000	1.34534489144438E-5
78500000	7.62706167576568E-6
78600000	1.02090559946329E-5
78700000	2.24632962637258E-6
78800000	1.18229768003053E-5
78900000	9.34540687016627E-6
79000000	1.40628650515818E-5
79100000	8.72971787271672E-6
79200000	1.23059003620349E-5
79300000	1.06630806406263E-5
79400000	5.11710284477288E-6
79500000	5.35137371838125E-6
79600000	8.12111559664138E-6
79700000	1.32695155756118E-5
79800000	4.35096826691853E-6
79900000	1.6604574238531E-5
80000000	2.09511986626495E-5
80100000	1.488577766039E-5
80200000	6.59453633591813E-6
80300000	1.31195485044418E-5
80400000	9.02773728026221E-6
80500000	7.45923282050675E-6
80600000	9.3167355009385E-6
80700000	1.46180627862291E-5
80800000	3.59686154371425E-6
80900000	9.16431961126917E-6
81000000	1.53860960281281E-5
81100000	8.69403016969797E-6
81200000	1.51162998863051E-5
81300000	7.16517056627719E-6
81400000	6.6596777180662E-6
81500000	4.54966236256253E-6
81600000	2.17663801917205E-6
81700000	3.75527390068566E-6
81800000	1.11823446968079E-5
81900000	7.34092526109739E-6
82000000	4.66767733033113E-6
82100000	9.83367724793172E-6
82200000	1.82953080877141E-6
82300000	1.2590981566315E-5
82400000	1.68847516271421E-5
82500000	1.36144035779431E-5
82600000	8.85663928017124E-6
82700000	8.31409843576693E-6
82800000	1.6824232434385E-5
82900000	1.04340655596782E-5
83000000	9.77020615140564E-6
83100000	3.8880807633775E-6
83200000	9.40722792076631E-6
83300000	5.72907161834845E-6
83400000	5.06876350248153E-6
83500000	3.04906619817142E-7
83600000	7.89739775495931E-6
83700000	1.14785864491764E-5
83800000	5.34796977673325E-6
83900000	1.05377510879815E-5
84000000	3.04343320104671E-6
84100000	5.34374323198928E-6
84200000	1.16263043263575E-5
84300000	1.1223540458509E-5
84400000	1.35015479900164E-5
84500000	1.74182171439596E-5
84600000	8.01444312690277E-6
84700000	7.67399610255352E-6
84800000	1.41498622026098E-5
84900000	1.95711288903306E-5
85000000	5.5663008692715E-6
85100000	2.02994357196575E-5
85200000	6.64256217866725E-6
85300000	5.77713139965593E-6
85400000	1.60784004587526E-5
85500000	1.86891093608553E-5
85600000	9.03179482846198E-6
85700000	1.15524714894625E-5
85800000	7.34222949726668E-6
85900000	7.79663082975612E-6
86000000	6.32741322350658E-6
86100000	7.86920263112659E-6
