# 16:37 - 17:56 -> 79 min
# Number	beat-frequency [MHz]	sigma [MHz]
611	22.3307	0.277095
612	19.4735	0.273282
613	22.2579	0.343066
614	19.5566	0.365572
615	21.7055	0.294277
616	22.0805	0.243102
617	21.3515	0.227642
618	17.1336	0.238901
619	23.2625	0.218162
620	21.8063	0.318665
621	22.2711	0.35401
622	20.1403	0.370685
623	21.0756	0.286876
624	23.544	0.363075
625	22.604	0.172232
626	23.2929	0.223099
627	22.5338	0.279418
628	26.4581	0.276411
629	19.5965	0.335231
630	21.7016	0.356541
631	21.2971	0.349938
632	21.6917	0.385859
633	22.1754	0.279592
634	21.0973	0.460048
635	20.027	0.368736
636	25.3721	0.242528
637	20.0297	0.23306
638	22.6252	0.209007
639	24.1725	0.413911
640	20.3396	0.31728
641	27.5988	0.271863
642	21.501	0.274984
643	18.9073	0.434179
644	22.5849	0.299465
645	25.0918	0.322219
646	24.4058	0.214964
647	18.1407	0.354035
648	26.1247	0.387952
649	23.6075	0.364111
650	18.0379	0.479438
651	19.6233	0.37151
652	18.8779	0.453365
653	19.2094	0.344595
654	22.828	0.3934
655	19.8627	0.451965
656	23.9075	0.277808
657	21.9445	0.338607
658	23.3126	0.416122
659	19.4385	0.550663
660	20.4165	0.431987
661	22.7298	0.267004
662	22.9465	0.543122
663	20.137	0.419823
664	25.4569	0.271471
665	23.6033	0.397049
666	17.614	0.336574
667	22.8079	0.425893
668	25.9275	0.27468
669	24.02	0.343027
670	24.7552	0.318433
671	25.1468	0.28169
672	22.7561	0.411895
673	22.8137	0.295335
674	20.2186	0.246114
675	24.2624	0.397716
676	20.1222	0.207983
677	22.9532	0.334002
678	22.2263	0.244125
679	26.3381	0.257138
680	21.8136	0.278027
681	23.3729	0.266281
682	25.5263	0.312791
683	24.9792	0.270518
684	24.2464	0.284997
685	21.2693	0.301331
686	22.5478	0.340921
687	21.2641	0.208894
688	24.9957	0.33433
689	20.7293	0.266669
690	22.9267	0.494929
691	25.0784	0.291551
692	19.6094	0.320586
693	23.0137	0.304775
694	20.8869	0.210478
695	22.6384	0.433614
696	28.1321	0.393993
697	19.9972	0.363019
698	22.6344	0.344842
699	31.7018	0.1797
700	17.3116	0.212043
701	24.0696	0.326965
702	19.4982	0.220536
703	23.0914	0.292226
704	22.1938	0.31228
705	23.0005	0.339885
706	25.4439	0.172214
707	23.2058	0.382211
708	25.2133	0.279586
709	27.0037	0.244709
710	19.6582	0.418053
711	18.6874	0.325676
712	28.6257	0.275745
713	23.1105	0.463439
714	18.7354	0.231345
715	22.8868	0.187136
716	22.9062	0.532848
717	26.1519	0.303506
718	21.029	0.340775
719	20.4111	0.240095
720	25.6804	0.325854
721	20.5847	0.466546
722	24.1083	0.214687
723	16.6726	0.305828
724	20.3633	0.365594
725	21.0014	0.298361
726	20.7474	0.587113
727	20.623	0.285144
728	21.2293	0.463881
729	21.4253	0.489927
730	20.2938	0.325585
731	24.8626	0.275305
732	18.5823	0.424072
733	25.3258	0.253143
734	19.6922	0.368851
735	24.285	0.34809
736	21.0894	0.346214
737	26.593	0.310714
738	23.2905	0.384686
739	21.9435	0.494093
740	25.7501	0.285338
741	17.3653	0.431893
742	21.5963	0.347065
743	24.845	0.262935
744	18.0861	0.314495
745	31.7003	0.245803
746	23.4199	0.213743
747	25.1218	0.276493
748	18.6363	0.566813
749	23.7374	0.327644
750	25.2937	0.225474
751	20.7037	0.469682
752	24.217	0.28838
753	22.0621	0.305315
754	20.784	0.503178
755	20.482	0.285014
756	18.7782	0.375456
757	15.7598	0.355457
758	23.1557	0.346249
759	21.4075	0.274259
760	22.6485	0.253787
761	26.7004	0.18996
762	16.653	0.366515
763	22.702	0.248638
764	21.8219	0.497864
765	25.3974	0.194493
766	14.2621	0.321533
767	24.7328	0.256539
768	21.7144	0.295572
769	22.6437	0.235389
770	21.2233	0.321081
