#time [s]	amplitude [V]
-1.791450000000e-003	-1.61369e-002
-1.786250000000e-003	-2.01570e-002
-1.781050000000e-003	-2.01570e-002
-1.775850000000e-003	-1.61369e-002
-1.770650000000e-003	-1.61369e-002
-1.765450000000e-003	-1.61369e-002
-1.760250000000e-003	-1.61369e-002
-1.755050000000e-003	-1.61369e-002
-1.749850000000e-003	-1.61369e-002
-1.744650000000e-003	-1.61369e-002
-1.739450000000e-003	-1.61369e-002
-1.734250000000e-003	-1.61369e-002
-1.729050000000e-003	-1.61369e-002
-1.723850000000e-003	-1.61369e-002
-1.718650000000e-003	-2.41771e-002
-1.713450000000e-003	-1.61369e-002
-1.708250000000e-003	-2.01570e-002
-1.703050000000e-003	-2.01570e-002
-1.697850000000e-003	-2.01570e-002
-1.692650000000e-003	-1.61369e-002
-1.687450000000e-003	-1.61369e-002
-1.682250000000e-003	-2.01570e-002
-1.677050000000e-003	-1.61369e-002
-1.671850000000e-003	-2.01570e-002
-1.666650000000e-003	-2.01570e-002
-1.661450000000e-003	-2.01570e-002
-1.656250000000e-003	-1.61369e-002
-1.651050000000e-003	-1.61369e-002
-1.645850000000e-003	-1.61369e-002
-1.640650000000e-003	-2.01570e-002
-1.635450000000e-003	-2.01570e-002
-1.630250000000e-003	-1.61369e-002
-1.625050000000e-003	-2.01570e-002
-1.619850000000e-003	-1.61369e-002
-1.614650000000e-003	-1.61369e-002
-1.609450000000e-003	-2.01570e-002
-1.604250000000e-003	-2.01570e-002
-1.599050000000e-003	-1.61369e-002
-1.593850000000e-003	-2.01570e-002
-1.588650000000e-003	-1.61369e-002
-1.583450000000e-003	-1.61369e-002
-1.578250000000e-003	-1.61369e-002
-1.573050000000e-003	-1.61369e-002
-1.567850000000e-003	-1.61369e-002
-1.562650000000e-003	-2.01570e-002
-1.557450000000e-003	-2.01570e-002
-1.552250000000e-003	-2.01570e-002
-1.547050000000e-003	-1.61369e-002
-1.541850000000e-003	-2.01570e-002
-1.536650000000e-003	-1.61369e-002
-1.531450000000e-003	-1.61369e-002
-1.526250000000e-003	-1.61369e-002
-1.521050000000e-003	-1.61369e-002
-1.515850000000e-003	-1.61369e-002
-1.510650000000e-003	-2.01570e-002
-1.505450000000e-003	-1.21168e-002
-1.500250000000e-003	-1.61369e-002
-1.495050000000e-003	-1.61369e-002
-1.489850000000e-003	-1.61369e-002
-1.484650000000e-003	-1.61369e-002
-1.479450000000e-003	-1.61369e-002
-1.474250000000e-003	-2.01570e-002
-1.469050000000e-003	-1.61369e-002
-1.463850000000e-003	-1.61369e-002
-1.458650000000e-003	-1.61369e-002
-1.453450000000e-003	-2.01570e-002
-1.448250000000e-003	-2.01570e-002
-1.443050000000e-003	-1.61369e-002
-1.437850000000e-003	-1.61369e-002
-1.432650000000e-003	-1.61369e-002
-1.427450000000e-003	-1.61369e-002
-1.422250000000e-003	-1.61369e-002
-1.417050000000e-003	-2.01570e-002
-1.411850000000e-003	-1.61369e-002
-1.406650000000e-003	-2.01570e-002
-1.401450000000e-003	-2.41771e-002
-1.396250000000e-003	-2.01570e-002
-1.391050000000e-003	-2.01570e-002
-1.385850000000e-003	-1.61369e-002
-1.380650000000e-003	-2.01570e-002
-1.375450000000e-003	-1.21168e-002
-1.370250000000e-003	-2.01570e-002
-1.365050000000e-003	-2.01570e-002
-1.359850000000e-003	-2.01570e-002
-1.354650000000e-003	-1.61369e-002
-1.349450000000e-003	-2.01570e-002
-1.344250000000e-003	-1.61369e-002
-1.339050000000e-003	-2.01570e-002
-1.333850000000e-003	-2.01570e-002
-1.328650000000e-003	-1.61369e-002
-1.323450000000e-003	-2.01570e-002
-1.318250000000e-003	-2.01570e-002
-1.313050000000e-003	-1.61369e-002
-1.307850000000e-003	-2.01570e-002
-1.302650000000e-003	-1.61369e-002
-1.297450000000e-003	-1.61369e-002
-1.292250000000e-003	-1.61369e-002
-1.287050000000e-003	-2.01570e-002
